"X2016.player","X2016.athlete_id_1","X2017.player","X2017.athlete_id_1","X2018.player","X2018.athlete_id_1","X2019.player","X2019.athlete_id_1","X2020.player","X2020.athlete_id_1","X2021.player","X2021.athlete_id_1","X2022.player","X2022.athlete_id_1","X2023.player","X2023.athlete_id_1","X2024.player","X2024.athlete_id_1","X2025.player","X2025.athlete_id_1"
"Al Horford",3213,"Andrew Wiggins",3059319,"Andrew Wiggins",3059319,"Aaron Gordon",3064290,"Andrew Wiggins",3059319,"Andrew Wiggins",3059319,"Andrew Wiggins",3059319,"Anfernee Simons",4351851,"Anthony Davis",6583,"Alperen Sengun",4871144
"Andre Drummond",6585,"Anthony Davis",6583,"Anthony Davis",6583,"Andre Drummond",6585,"Anthony Davis",6583,"Anthony Edwards",4594268,"Anthony Edwards",4594268,"Anthony Edwards",4594268,"Anthony Edwards",4594268,"Anfernee Simons",4351851
"Andrew Wiggins",3059319,"Blake Griffin",3989,"Ben Simmons",3907387,"Andrew Wiggins",3059319,"Bojan Bogdanovic",3593,"Bojan Bogdanovic",3593,"Brandon Ingram",3913176,"Bam Adebayo",4066261,"Bam Adebayo",4066261,"Anthony Edwards",4594268
"Anthony Davis",6583,"Bradley Beal",6580,"Blake Griffin",3989,"Blake Griffin",3989,"Bradley Beal",6580,"Bradley Beal",6580,"Buddy Hield",2990984,"Buddy Hield",2990984,"Bogdan Bogdanovic",3037789,"Austin Reaves",4066457
"Avery Bradley",4240,"Brook Lopez",3448,"Bradley Beal",6580,"Bojan Bogdanovic",3593,"Brandon Ingram",3913176,"Brandon Ingram",3913176,"CJ McCollum",2490149,"CJ McCollum",2490149,"Brandon Ingram",3913176,"Bam Adebayo",4066261
"Brook Lopez",3448,"CJ McCollum",2490149,"Buddy Hield",2990984,"Bradley Beal",6580,"Buddy Hield",2990984,"Buddy Hield",2990984,"Cade Cunningham",4432166,"Damian Lillard",6606,"Brandon Miller",4433287,"CJ McCollum",2490149
"C.J. McCollum",2490149,"Carmelo Anthony",1975,"CJ McCollum",2490149,"Buddy Hield",2990984,"CJ McCollum",2490149,"CJ McCollum",2490149,"Darius Garland",4396907,"Darius Garland",4396907,"CJ McCollum",2490149,"Cade Cunningham",4432166
"Carmelo Anthony",1975,"Damian Lillard",6606,"Carmelo Anthony",1975,"CJ McCollum",2490149,"Chris Paul",2779,"Chris Paul",2779,"De'Aaron Fox",4066259,"De'Aaron Fox",4066259,"Cade Cunningham",4432166,"Coby White",4395651
"Chris Paul",2779,"DeMar DeRozan",3978,"Damian Lillard",6606,"Collin Sexton",4277811,"Collin Sexton",4277811,"Coby White",4395651,"DeMar DeRozan",3978,"DeMar DeRozan",3978,"Cam Thomas",4432174,"Damian Lillard",6606
"Damian Lillard",6606,"DeMarcus Cousins",4258,"DeMar DeRozan",3978,"D'Angelo Russell",3136776,"D'Angelo Russell",3136776,"Collin Sexton",4277811,"Dejounte Murray",3907497,"Dejounte Murray",3907497,"Coby White",4395651,"Darius Garland",4396907
"DeMar DeRozan",3978,"Dennis Schroder",3032979,"Dennis Schroder",3032979,"Damian Lillard",6606,"Damian Lillard",6606,"Damian Lillard",6606,"Desmond Bane",4066320,"Devin Booker",3136193,"Collin Sexton",4277811,"De'Aaron Fox",4066259
"DeMarcus Cousins",4258,"Derrick Rose",3456,"Dennis Smith Jr.",4065697,"De'Aaron Fox",4066259,"DeMar DeRozan",3978,"De'Aaron Fox",4066259,"Devin Booker",3136193,"Donovan Mitchell",3908809,"D'Angelo Russell",3136776,"DeMar DeRozan",3978
"Derrick Rose",3456,"Devin Booker",3136193,"Devin Booker",3136193,"DeMar DeRozan",3978,"Dennis Schroder",3032979,"DeMar DeRozan",3978,"Donovan Mitchell",3908809,"Franz Wagner",4566434,"Damian Lillard",6606,"Desmond Bane",4066320
"Dirk Nowitzki",609,"Dwyane Wade",1987,"Donovan Mitchell",3908809,"Dennis Schroder",3032979,"Devin Booker",3136193,"Dejounte Murray",3907497,"Franz Wagner",4566434,"Fred VanVleet",2991230,"De'Aaron Fox",4066259,"Devin Booker",3136193
"Dwyane Wade",1987,"Eric Bledsoe",4238,"Dwight Howard",2384,"Devin Booker",3136193,"Devonte' Graham",3133601,"Devin Booker",3136193,"Fred VanVleet",2991230,"Giannis Antetokounmpo",3032977,"DeMar DeRozan",3978,"Donovan Mitchell",3908809
"Giannis Antetokounmpo",3032977,"Eric Gordon",3431,"Eric Bledsoe",4238,"Donovan Mitchell",3908809,"Dillon Brooks",3155526,"Dillon Brooks",3155526,"Gary Trent Jr.",4277843,"Ja Morant",4279888,"Dejounte Murray",3907497,"Franz Wagner",4566434
"Gordon Hayward",4249,"Giannis Antetokounmpo",3032977,"Eric Gordon",3431,"Evan Fournier",6588,"Domantas Sabonis",3155942,"Domantas Sabonis",3155942,"Giannis Antetokounmpo",3032977,"Jalen Brunson",3934672,"Devin Booker",3136193,"Giannis Antetokounmpo",3032977
"Isaiah Thomas",6472,"Goran Dragic",3423,"Gary Harris",2999547,"Giannis Antetokounmpo",3032977,"Donovan Mitchell",3908809,"Donovan Mitchell",3908809,"Ja Morant",4279888,"Jalen Green",4437244,"Devin Vassell",4395630,"Jalen Brunson",3934672
"Ish Smith",4305,"Gordon Hayward",4249,"Giannis Antetokounmpo",3032977,"Harrison Barnes",6578,"Evan Fournier",6588,"Fred VanVleet",2991230,"Jalen Brunson",3934672,"Jamal Murray",3936299,"Domantas Sabonis",3155942,"Jalen Green",4437244
"James Harden",3992,"Harrison Barnes",6578,"Goran Dragic",3423,"JJ Redick",3024,"Giannis Antetokounmpo",3032977,"Giannis Antetokounmpo",3032977,"James Harden",3992,"Jaylen Brown",3917376,"Donovan Mitchell",3908809,"Jalen Williams",4593803
"Jeff Teague",4015,"Hassan Whiteside",4262,"Harrison Barnes",6578,"Jamal Murray",3936299,"Ja Morant",4279888,"Ja Morant",4279888,"Jaren Jackson Jr.",4277961,"Jayson Tatum",4065648,"Franz Wagner",4566434,"Jamal Murray",3936299
"Jimmy Butler",6430,"Isaiah Thomas",6472,"Jamal Murray",3936299,"James Harden",3992,"Jamal Murray",3936299,"Jaylen Brown",3917376,"Jaylen Brown",3917376,"Joel Embiid",3059318,"Fred VanVleet",2991230,"James Harden",3992
"John Wall",4237,"James Harden",3992,"James Harden",3992,"Jayson Tatum",4065648,"James Harden",3992,"Jayson Tatum",4065648,"Jayson Tatum",4065648,"Jordan Clarkson",2528426,"Giannis Antetokounmpo",3032977,"Jaren Jackson Jr.",4277961
"Jordan Clarkson",2528426,"Jimmy Butler",6430,"Jimmy Butler",6430,"Joel Embiid",3059318,"Jaylen Brown",3917376,"Jerami Grant",2991070,"Joel Embiid",3059318,"Jordan Poole",4277956,"Jalen Brunson",3934672,"Jaylen Brown",3917376
"Karl-Anthony Towns",3136195,"John Wall",4237,"Joel Embiid",3059318,"Jordan Clarkson",2528426,"Jayson Tatum",4065648,"Joel Embiid",3059318,"Jordan Clarkson",2528426,"Josh Giddey",4871145,"Jalen Green",4437244,"Jayson Tatum",4065648
"Kawhi Leonard",6450,"Jordan Clarkson",2528426,"Jordan Clarkson",2528426,"Jrue Holiday",3995,"Jordan Clarkson",2528426,"Jordan Clarkson",2528426,"Jordan Poole",4277956,"Jrue Holiday",3995,"Jaren Jackson Jr.",4277961,"Jordan Poole",4277956
"Kemba Walker",6479,"Karl-Anthony Towns",3136195,"Josh Jackson",4066297,"Julius Randle",3064514,"Jrue Holiday",3995,"Jrue Holiday",3995,"Julius Randle",3064514,"Julius Randle",3064514,"Jaylen Brown",3917376,"Karl-Anthony Towns",3136195
"Kentavious Caldwell-Pope",2581018,"Kawhi Leonard",6450,"Jrue Holiday",3995,"Karl-Anthony Towns",3136195,"Julius Randle",3064514,"Julius Randle",3064514,"Karl-Anthony Towns",3136195,"Keldon Johnson",4395723,"Jayson Tatum",4065648,"Kevin Durant",3202
"Kevin Durant",3202,"Kemba Walker",6479,"Julius Randle",3064514,"Kawhi Leonard",6450,"Kawhi Leonard",6450,"Karl-Anthony Towns",3136195,"Keldon Johnson",4395723,"Klay Thompson",6475,"Jordan Poole",4277956,"LaMelo Ball",4432816
"Kevin Love",3449,"Kevin Durant",3202,"Jusuf Nurkic",3102530,"Kemba Walker",6479,"Kelly Oubre Jr.",3133603,"Kawhi Leonard",6450,"Kevin Durant",3202,"Kristaps Porzingis",3102531,"Kawhi Leonard",6450,"LeBron James",1966
"Khris Middleton",6609,"Klay Thompson",6475,"Karl-Anthony Towns",3136195,"Kevin Durant",3202,"Kemba Walker",6479,"Khris Middleton",6609,"Khris Middleton",6609,"Kyle Kuzma",3134907,"Kevin Durant",3202,"Luka Doncic",3945274
"Klay Thompson",6475,"Kristaps Porzingis",3102531,"Kemba Walker",6479,"Khris Middleton",6609,"Kendrick Nunn",3056247,"Kyrie Irving",6442,"LaMelo Ball",4432816,"Kyrie Irving",6442,"Klay Thompson",6475,"Malik Beasley",3907822
"Kobe Bryant",110,"Kyrie Irving",6442,"Kevin Durant",3202,"Klay Thompson",6475,"Khris Middleton",6609,"LeBron James",1966,"LeBron James",1966,"Lauri Markkanen",4066336,"Kyle Kuzma",3134907,"Michael Porter Jr.",4278104
"Kyle Lowry",3012,"LaMarcus Aldridge",2983,"Khris Middleton",6609,"Kyle Kuzma",3134907,"Kristaps Porzingis",3102531,"Luka Doncic",3945274,"Luka Doncic",3945274,"LeBron James",1966,"Kyrie Irving",6442,"Mikal Bridges",3147657
"LaMarcus Aldridge",2983,"LeBron James",1966,"Klay Thompson",6475,"Kyrie Irving",6442,"LeBron James",1966,"Malcolm Brogdon",2566769,"Miles Bridges",4066383,"Luka Doncic",3945274,"LeBron James",1966,"Miles Bridges",4066383
"LeBron James",1966,"Lou Williams",2799,"Kyle Kuzma",3134907,"LaMarcus Aldridge",2983,"Lou Williams",2799,"Michael Porter Jr.",4278104,"Nikola Jokic",3112335,"Mikal Bridges",3147657,"Luka Doncic",3945274,"Nikola Jokic",3112335
"Monta Ellis",2751,"Marc Gasol",3206,"Kyle Lowry",3012,"LeBron James",1966,"Luka Doncic",3945274,"Nikola Jokic",3112335,"Nikola Vucevic",6478,"Nikola Jokic",3112335,"Michael Porter Jr.",4278104,"Nikola Vucevic",6478
"Nikola Vucevic",6478,"Marcus Morris",6462,"Kyrie Irving",6442,"Lou Williams",2799,"Nikola Joki",3112335,"Nikola Vucevic",6478,"Pascal Siakam",3149673,"Nikola Vucevic",6478,"Mikal Bridges",3147657,"OG Anunoby",3934719
"Pau Gasol",996,"Mike Conley",3195,"LaMarcus Aldridge",2983,"Luka Doncic",3945274,"Nikola Vucevic",6478,"Norman Powell",2595516,"RJ Barrett",4395625,"Paolo Banchero",4432573,"Miles Bridges",4066383,"Pascal Siakam",3149673
"Paul George",4251,"Nicolas Batum",3416,"LeBron James",1966,"Mike Conley",3195,"Pascal Siakam",3149673,"Pascal Siakam",3149673,"Reggie Jackson",6443,"Pascal Siakam",3149673,"Nikola Jokic",3112335,"RJ Barrett",4395625
"Paul Millsap",3015,"Nikola Vucevic",6478,"Lou Williams",2799,"Nikola Jokic",3112335,"Russell Westbrook",3468,"Paul George",4251,"Russell Westbrook",3468,"Paul George",4251,"Nikola Vucevic",6478,"Scottie Barnes",4433134
"Reggie Jackson",6443,"Paul George",4251,"Marc Gasol",3206,"Nikola Vucevic",6478,"Shai Gilgeous-Alexander",4278073,"RJ Barrett",4395625,"Saddiq Bey",4397136,"RJ Barrett",4395625,"Paolo Banchero",4432573,"Shaedon Sharpe",4914336
"Rodney Hood",2581177,"Paul Millsap",3015,"Nikola Jokic",3112335,"Paul George",4251,"Spencer Dinwiddie",2580782,"Russell Westbrook",3468,"Shai Gilgeous-Alexander",4278073,"Scottie Barnes",4433134,"Pascal Siakam",3149673,"Shai Gilgeous-Alexander",4278073
"Rudy Gay",3005,"Russell Westbrook",3468,"Paul George",4251,"Reggie Jackson",6443,"T.J. Warren",2982334,"Stephen Curry",3975,"Stephen Curry",3975,"Shai Gilgeous-Alexander",4278073,"Paul George",4251,"Stephen Curry",3975
"Russell Westbrook",3468,"Serge Ibaka",3439,"Russell Westbrook",3468,"Russell Westbrook",3468,"Terrence Ross",6619,"Terry Rozier",3074752,"Terry Rozier",3074752,"Spencer Dinwiddie",2580782,"Shai Gilgeous-Alexander",4278073,"Stephon Castle",4845367
"Stephen Curry",3975,"Stephen Curry",3975,"TJ Warren",2982334,"Stephen Curry",3975,"Terry Rozier",3074752,"Tim Hardaway Jr.",2528210,"Tobias Harris",6440,"Stephen Curry",3975,"Stephen Curry",3975,"Trae Young",4277905
"Thaddeus Young",3244,"Tobias Harris",6440,"Taurean Prince",2990962,"Terrence Ross",6619,"Tim Hardaway Jr.",2528210,"Tobias Harris",6440,"Trae Young",4277905,"Terry Rozier",3074752,"Tyrese Haliburton",4396993,"Tyler Herro",4395725
"Victor Oladipo",2527963,"Victor Oladipo",2527963,"Tobias Harris",6440,"Tobias Harris",6440,"Tobias Harris",6440,"Trae Young",4277905,"Tyler Herro",4395725,"Trae Young",4277905,"Tyrese Maxey",4431678,"Tyrese Haliburton",4396993
"Will Barton",6579,"Wilson Chandler",3194,"Victor Oladipo",2527963,"Trae Young",4277905,"Trae Young",4277905,"Zach LaVine",3064440,"Tyrese Maxey",4431678,"Tyler Herro",4395725,"Victor Wembanyama",5104157,"Tyrese Maxey",4431678
"Zach LaVine",3064440,"Zach Randolph",1017,"Will Barton",6579,"Zach LaVine",3064440,"Zach LaVine",3064440,"Zion Williamson",4395628,"Zach LaVine",3064440,"Zach LaVine",3064440,"Zion Williamson",4395628,"Zach LaVine",3064440
